epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2094,1.48313,1.77179,0.89356,0.63961,0.24072,0.26713,0.13145,1.55215,1.18888,0.8988,0.000405702,0.000405702,0.000405702
2,52.6667,1.35854,0.85675,0.8597,0.32637,0.47737,0.28082,0.13512,1.35405,2.98548,0.8645,0.000816941,0.000816941,0.000816941
3,77.5784,1.33901,0.79607,0.85882,0.74751,0.61276,0.66272,0.3334,1.32465,0.8248,0.84782,0.00122268,0.00122268,0.00122268
4,102.785,1.26917,0.72795,0.84757,0.66583,0.64865,0.62376,0.3382,1.24744,0.86485,0.84182,0.00122525,0.00122525,0.00122525
5,128.379,1.27937,0.69918,0.84773,0.72771,0.65467,0.6843,0.39111,1.13617,0.71136,0.83281,0.001217,0.001217,0.001217
6,153.864,1.19674,0.64433,0.83613,0.84624,0.66695,0.73344,0.41283,1.1263,0.68175,0.83159,0.00120875,0.00120875,0.00120875
7,179.118,1.42026,0.76578,0.87525,0.70055,0.53095,0.57539,0.30959,1.33335,0.82723,0.86502,0.0012005,0.0012005,0.0012005
8,204.189,1.2566,0.70452,0.84731,0.70073,0.6581,0.68118,0.37784,1.14033,0.69508,0.83575,0.00119225,0.00119225,0.00119225
9,229.315,1.19877,0.66689,0.84123,0.75352,0.60894,0.68387,0.40003,1.15693,0.67869,0.85293,0.001184,0.001184,0.001184
10,254.597,1.22568,0.65795,0.84046,0.76071,0.68045,0.7071,0.40743,1.12938,0.63933,0.83955,0.00117575,0.00117575,0.00117575
11,279.786,1.17642,0.63315,0.83707,0.77643,0.63017,0.67637,0.33986,1.24657,0.69275,0.85483,0.0011675,0.0011675,0.0011675
12,304.87,1.11681,0.59411,0.82999,0.67425,0.72475,0.73499,0.43151,1.13224,0.63872,0.83215,0.00115925,0.00115925,0.00115925
13,330.213,1.14218,0.59939,0.83578,0.71175,0.66509,0.69703,0.4343,1.1171,0.61473,0.83938,0.001151,0.001151,0.001151
14,355.484,1.09706,0.57417,0.82613,0.76613,0.69606,0.73024,0.43675,1.03955,0.58373,0.82542,0.00114275,0.00114275,0.00114275
15,380.911,1.11041,0.57485,0.82869,0.79792,0.63624,0.71406,0.43237,1.04234,0.57651,0.82886,0.0011345,0.0011345,0.0011345
16,406.117,1.09581,0.56287,0.82163,0.76196,0.67819,0.72717,0.45105,1.04858,0.57949,0.82471,0.00112625,0.00112625,0.00112625
17,431.461,1.09308,0.5704,0.82492,0.83525,0.72687,0.75912,0.4439,1.0328,0.55574,0.82756,0.001118,0.001118,0.001118
18,456.648,1.09619,0.57139,0.82609,0.80589,0.74571,0.77705,0.46959,1.03708,0.56418,0.82708,0.00110975,0.00110975,0.00110975
19,482.096,1.07897,0.56477,0.82774,0.82358,0.74346,0.7877,0.49682,0.95989,0.55062,0.82142,0.0011015,0.0011015,0.0011015
20,507.596,1.09591,0.57588,0.83084,0.80149,0.67116,0.76005,0.46399,1.0313,0.60936,0.82825,0.00109325,0.00109325,0.00109325
21,532.713,1.10137,0.56968,0.8276,0.79215,0.67541,0.74272,0.42922,1.10809,0.6089,0.82818,0.001085,0.001085,0.001085
22,557.764,1.10762,0.57335,0.82779,0.85257,0.72848,0.77698,0.48628,0.96539,0.56867,0.82211,0.00107675,0.00107675,0.00107675
23,582.945,1.06474,0.56109,0.82046,0.86856,0.70344,0.76232,0.47436,1.00076,0.5456,0.82109,0.0010685,0.0010685,0.0010685
24,608.146,1.0304,0.54127,0.8175,0.90264,0.74713,0.80173,0.48668,0.92367,0.53038,0.81407,0.00106025,0.00106025,0.00106025
25,633.417,1.02631,0.52802,0.81446,0.89762,0.71506,0.78375,0.46418,0.99587,0.53312,0.8209,0.001052,0.001052,0.001052
26,658.604,1.04119,0.53045,0.82083,0.83634,0.77463,0.80476,0.4983,0.9998,0.53046,0.82325,0.00104375,0.00104375,0.00104375
27,684.004,1.03103,0.51544,0.82169,0.8991,0.73878,0.79493,0.50344,0.95071,0.51226,0.8214,0.0010355,0.0010355,0.0010355
28,709.422,1.0498,0.52561,0.81573,0.83486,0.74345,0.77117,0.46943,1.02447,0.53464,0.82619,0.00102725,0.00102725,0.00102725
29,734.628,1.00381,0.52161,0.81755,0.80096,0.69287,0.75827,0.45535,1.00411,0.54803,0.82959,0.001019,0.001019,0.001019
30,759.673,1.00471,0.50596,0.81457,0.86343,0.74747,0.79967,0.49046,0.94836,0.51176,0.81596,0.00101075,0.00101075,0.00101075
31,784.742,1.01455,0.51769,0.81297,0.80882,0.73421,0.76948,0.48443,0.97661,0.51609,0.82326,0.0010025,0.0010025,0.0010025
32,809.822,1.02907,0.5309,0.82023,0.82986,0.72229,0.787,0.46746,1.03766,0.54757,0.82485,0.00099425,0.00099425,0.00099425
33,835.003,1.04315,0.51712,0.81007,0.84035,0.68315,0.75962,0.48477,0.9335,0.51423,0.81895,0.000986,0.000986,0.000986
34,860.065,1.00711,0.51142,0.81212,0.85534,0.67522,0.75689,0.48035,0.97527,0.54394,0.82166,0.00097775,0.00097775,0.00097775
35,885.162,1.00823,0.51443,0.81499,0.85562,0.74123,0.79475,0.50433,0.94441,0.49522,0.81496,0.0009695,0.0009695,0.0009695
36,910.486,1.00141,0.49822,0.81416,0.89296,0.74916,0.80897,0.51463,0.92078,0.49055,0.81598,0.00096125,0.00096125,0.00096125
