epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.76921,1.77367,2.93505,0.94788,0.00087,0.00863,0.00061,0.00016,1.73115,3.90489,0.89847,0.000405702,0.000405702,0.000405702
2,16.5836,1.6111,1.38487,0.89416,0.03987,0.36769,0.20246,0.0997,1.43885,2.69363,0.86994,0.000816941,0.000816941,0.000816941
3,24.3301,1.51253,1.20401,0.88251,0.85733,0.19613,0.24319,0.13485,1.40644,1.76246,0.86392,0.00122268,0.00122268,0.00122268
4,32.1605,1.49129,1.12515,0.87397,0.86912,0.27049,0.29644,0.16036,1.45101,1.13388,0.87367,0.00122525,0.00122525,0.00122525
5,39.8555,1.50503,1.0986,0.87389,0.85828,0.2658,0.32661,0.1768,1.31936,1.00518,0.85979,0.001217,0.001217,0.001217
6,47.519,1.3824,1.01696,0.85821,0.85999,0.28786,0.34587,0.20211,1.21287,0.8745,0.84784,0.00120875,0.00120875,0.00120875
7,55.1322,1.38056,0.97398,0.86756,0.6587,0.39724,0.41867,0.22791,1.2687,0.84742,0.85831,0.0012005,0.0012005,0.0012005
8,62.6458,1.34992,0.9336,0.85674,0.77278,0.45421,0.51088,0.30177,1.21654,0.79755,0.84811,0.00119225,0.00119225,0.00119225
9,70.1692,1.36248,0.89356,0.8583,0.7297,0.54378,0.51861,0.29431,1.2492,0.79266,0.84586,0.001184,0.001184,0.001184
10,77.6278,1.34602,0.86209,0.84961,0.7565,0.53888,0.5484,0.31214,1.25597,0.77301,0.85074,0.00117575,0.00117575,0.00117575
11,85.172,1.33548,0.83743,0.85175,0.74727,0.45469,0.50253,0.28121,1.23448,0.79616,0.85284,0.0011675,0.0011675,0.0011675
12,92.7052,1.30928,0.8069,0.85296,0.78617,0.54927,0.57435,0.32251,1.19776,0.7499,0.84742,0.00115925,0.00115925,0.00115925
13,100.234,1.28463,0.7763,0.85231,0.8298,0.54342,0.61151,0.36576,1.13429,0.70962,0.83742,0.001151,0.001151,0.001151
14,107.776,1.25518,0.74184,0.84197,0.83881,0.52084,0.60132,0.35415,1.11849,0.6721,0.8372,0.00114275,0.00114275,0.00114275
15,115.373,1.28379,0.75764,0.84578,0.85754,0.57487,0.62911,0.36268,1.18186,0.66394,0.84457,0.0011345,0.0011345,0.0011345
16,122.877,1.3321,0.76624,0.8485,0.82029,0.61116,0.65396,0.37699,1.1792,0.66487,0.84509,0.00112625,0.00112625,0.00112625
17,130.498,1.2443,0.73009,0.84429,0.88,0.58994,0.66448,0.3799,1.14111,0.65043,0.83922,0.001118,0.001118,0.001118
18,138.112,1.22707,0.71135,0.83919,0.833,0.62392,0.67509,0.40465,1.09229,0.62841,0.83639,0.00110975,0.00110975,0.00110975
19,145.672,1.21077,0.69697,0.84353,0.78067,0.5384,0.59605,0.3443,1.13692,0.68888,0.84155,0.0011015,0.0011015,0.0011015
20,153.196,1.2479,0.72256,0.84729,0.77977,0.5983,0.67419,0.39019,1.09366,0.65194,0.83585,0.00109325,0.00109325,0.00109325
21,160.759,1.23159,0.70324,0.84212,0.81413,0.63899,0.69078,0.40299,1.10731,0.64928,0.83745,0.001085,0.001085,0.001085
22,168.288,1.2358,0.70155,0.8431,0.84308,0.6305,0.68826,0.40098,1.14801,0.64221,0.83715,0.00107675,0.00107675,0.00107675
23,175.799,1.25343,0.69903,0.83854,0.83079,0.60742,0.68078,0.38211,1.10921,0.63971,0.83241,0.0010685,0.0010685,0.0010685
24,183.294,1.21966,0.68002,0.83697,0.76655,0.60744,0.66897,0.38443,1.1017,0.6399,0.8352,0.00106025,0.00106025,0.00106025
25,190.816,1.18385,0.66673,0.83224,0.84973,0.62779,0.70229,0.409,1.05587,0.60906,0.82747,0.001052,0.001052,0.001052
