epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8883,1.58258,2.07393,0.91386,0.64165,0.35737,0.31384,0.18586,1.23843,0.97309,0.85952,0.000405702,0.000405702,0.000405702
2,25.5687,1.35104,0.89166,0.85688,0.53995,0.51006,0.56341,0.31583,1.19645,0.79213,0.84451,0.000816941,0.000816941,0.000816941
3,38.4129,1.2941,0.76033,0.84966,0.72972,0.50717,0.58101,0.32611,1.18989,0.7234,0.84004,0.00122268,0.00122268,0.00122268
4,50.8157,1.28961,0.76327,0.84852,0.73455,0.51156,0.56255,0.31344,1.24883,0.81313,0.85409,0.00122525,0.00122525,0.00122525
5,62.8656,1.23897,0.74939,0.84443,0.80052,0.59924,0.68544,0.37229,1.1612,0.70462,0.84416,0.001217,0.001217,0.001217
6,74.964,1.20006,0.6652,0.83646,0.87661,0.67571,0.73504,0.4315,1.0774,0.63071,0.82935,0.00120875,0.00120875,0.00120875
7,88.0542,1.23424,0.66984,0.84381,0.80275,0.65916,0.69696,0.40693,1.12914,0.70783,0.83322,0.0012005,0.0012005,0.0012005
8,100.066,1.22371,0.6593,0.83746,0.78366,0.65515,0.69355,0.38155,1.18787,0.6582,0.84296,0.00119225,0.00119225,0.00119225
9,112.24,1.19678,0.63949,0.83771,0.84637,0.71116,0.74513,0.43685,1.08996,0.58062,0.83239,0.001184,0.001184,0.001184
10,124.509,1.1793,0.62324,0.82829,0.75129,0.73396,0.74475,0.43305,1.05001,0.60003,0.82837,0.00117575,0.00117575,0.00117575
11,136.739,1.27827,0.65983,0.84125,0.88267,0.69249,0.76112,0.43575,1.15374,0.60235,0.83241,0.0011675,0.0011675,0.0011675
12,148.928,1.17523,0.61711,0.83256,0.85917,0.72445,0.76763,0.4669,1.04034,0.57484,0.82564,0.00115925,0.00115925,0.00115925
