epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.32374,1.4354,3.14473,0.97258,0.59319,0.45927,0.33184,0.20352,1.28859,1.52774,0.88909,0.0001125,0.0001125,0.0001125
2,15.105,1.44174,1.05119,0.93708,0.59309,0.32948,0.28731,0.11453,1.9794,2.37894,1.04045,0.000235149,0.000235149,0.000235149
3,22.8703,1.45509,0.98168,0.94824,0.31573,0.69913,0.32111,0.17723,1.29894,17.181,0.88609,0.000355322,0.000355322,0.000355322
4,30.8305,1.29433,0.98708,0.92194,0.31748,0.42325,0.34266,0.22742,1.16737,10.8579,0.85666,0.000473021,0.000473021,0.000473021
5,38.9066,1.2929,0.88551,0.90297,0.29855,0.44979,0.34255,0.1812,1.36214,21.0126,0.9015,0.000588245,0.000588245,0.000588245
6,46.5005,1.25551,0.83592,0.9073,0.31876,0.38729,0.34164,0.21734,1.20413,13.9303,0.89881,0.000700994,0.000700994,0.000700994
7,53.9029,1.33237,0.74898,0.9121,0.30309,0.66097,0.34936,0.21952,1.18458,4.85272,0.87995,0.000811267,0.000811267,0.000811267
8,61.2421,1.45515,0.83022,0.92517,0.33936,0.43839,0.31775,0.1578,1.40661,11.3469,0.91461,0.000919066,0.000919066,0.000919066
9,68.5364,1.37542,0.79147,0.92806,0.46248,0.64103,0.40504,0.21882,1.37717,36.6992,0.93586,0.00102439,0.00102439,0.00102439
10,75.8148,1.30056,0.72415,0.92422,0.49053,0.65302,0.54175,0.28635,1.24392,1.032,0.90108,0.00112724,0.00112724,0.00112724
11,83.2242,1.26694,0.71499,0.90822,0.65342,0.75771,0.70616,0.37015,1.3443,0.8305,0.90917,0.00112625,0.00112625,0.00112625
12,90.773,1.31321,0.7443,0.91918,0.52143,0.70131,0.55837,0.3124,1.2373,0.78563,0.90942,0.00111388,0.00111388,0.00111388
13,98.1452,1.23642,0.70775,0.91027,0.52074,0.76798,0.50017,0.26996,1.18916,1.68935,0.88506,0.0011015,0.0011015,0.0011015
14,105.606,1.22224,0.66313,0.90715,0.53298,0.5505,0.43426,0.26504,1.1469,8.15315,0.88186,0.00108913,0.00108913,0.00108913
15,113.052,1.13956,0.63457,0.88496,0.758,0.67034,0.72173,0.45479,1.11126,0.69754,0.87238,0.00107675,0.00107675,0.00107675
16,120.758,1.16656,0.63592,0.89389,0.74798,0.77083,0.76777,0.43889,1.0922,0.68402,0.88068,0.00106437,0.00106437,0.00106437
17,128.213,1.14984,0.61584,0.89409,0.60417,0.75,0.77593,0.44465,1.09615,0.65985,0.87476,0.001052,0.001052,0.001052
18,135.755,1.13579,0.60037,0.8985,0.89842,0.76443,0.7722,0.41652,1.11245,0.64653,0.87198,0.00103962,0.00103962,0.00103962
19,143.156,1.13215,0.60918,0.87483,0.82769,0.80472,0.7844,0.43213,1.14772,0.64114,0.86014,0.00102725,0.00102725,0.00102725
20,150.561,1.09501,0.58202,0.87,0.87604,0.79167,0.81886,0.44986,1.20369,0.58455,0.87362,0.00101488,0.00101488,0.00101488
21,158.078,1.13453,0.57735,0.87888,0.87469,0.82662,0.85152,0.47891,1.19918,0.60285,0.8697,0.0010025,0.0010025,0.0010025
22,165.713,1.16806,0.59399,0.89061,0.93844,0.75,0.84487,0.46446,1.17838,0.59534,0.88201,0.000990125,0.000990125,0.000990125
23,173.084,1.14075,0.58383,0.88321,0.81058,0.73929,0.83827,0.44745,1.24917,0.65403,0.88955,0.00097775,0.00097775,0.00097775
24,180.507,1.10083,0.57968,0.87775,0.86705,0.83125,0.85365,0.48305,1.15557,0.56172,0.86624,0.000965375,0.000965375,0.000965375
