epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.21887,1.65619,3.88754,1.03303,0.01051,0.19071,0.09228,0.04586,1.38628,3.96161,0.88053,0.0001125,0.0001125,0.0001125
2,6.37278,1.5761,2.99198,0.96594,0.01146,0.22098,0.09093,0.02537,1.34936,3.97559,0.88268,0.000235149,0.000235149,0.000235149
3,8.47819,1.61424,2.05854,0.98123,0.01366,0.25801,0.12787,0.04423,1.33196,3.80836,0.87053,0.000355322,0.000355322,0.000355322
4,10.5651,1.59023,1.61147,0.98275,0.01501,0.24573,0.12458,0.0549,1.31043,3.57935,0.86696,0.000473021,0.000473021,0.000473021
5,12.6651,1.49257,1.34416,0.9549,0.02048,0.32354,0.11081,0.04174,1.31455,3.46584,0.88084,0.000588245,0.000588245,0.000588245
6,14.728,1.47368,1.28281,0.9619,0.03209,0.51318,0.26557,0.1228,1.38332,3.09794,0.87922,0.000700994,0.000700994,0.000700994
7,16.8087,1.45455,1.20628,0.94349,0.03279,0.53312,0.31242,0.15499,1.33639,2.76692,0.87203,0.000811267,0.000811267,0.000811267
8,18.9361,1.42706,1.16225,0.92572,0.03474,0.5625,0.33945,0.18218,1.30138,2.51967,0.86621,0.000919066,0.000919066,0.000919066
9,21.0324,1.35622,1.13604,0.92782,0.96989,0.2582,0.35171,0.19453,1.32613,2.15134,0.88954,0.00102439,0.00102439,0.00102439
10,23.1077,1.35479,1.09385,0.92796,0.97014,0.24217,0.37426,0.22408,1.25086,1.89994,0.87517,0.00112724,0.00112724,0.00112724
11,25.1747,1.38967,1.09198,0.9108,0.96045,0.29632,0.35036,0.19812,1.35696,1.68207,0.88009,0.00112625,0.00112625,0.00112625
12,27.2331,1.38378,1.11115,0.91298,0.93505,0.32965,0.38034,0.23679,1.20231,1.39896,0.86876,0.00111388,0.00111388,0.00111388
13,29.3361,1.35772,1.07457,0.9207,0.63547,0.34103,0.39189,0.24395,1.22571,1.3312,0.87774,0.0011015,0.0011015,0.0011015
14,31.3984,1.41518,1.06345,0.93229,0.7723,0.4375,0.43696,0.26978,1.24935,1.24541,0.88282,0.00108913,0.00108913,0.00108913
15,33.4749,1.33304,1.03655,0.91316,0.83284,0.45035,0.4903,0.3014,1.22172,1.16311,0.88526,0.00107675,0.00107675,0.00107675
16,35.5704,1.33599,0.99461,0.91299,0.79183,0.51544,0.53018,0.33078,1.22625,1.02776,0.88001,0.00106437,0.00106437,0.00106437
17,37.6094,1.3022,0.96836,0.91446,0.87281,0.57396,0.57755,0.36612,1.14417,0.91702,0.86331,0.001052,0.001052,0.001052
18,39.7055,1.29713,0.9406,0.9144,0.92209,0.54825,0.63811,0.39673,1.17628,0.85845,0.86884,0.00103962,0.00103962,0.00103962
19,41.8002,1.24616,0.89749,0.88737,0.89142,0.56461,0.64656,0.39601,1.14934,0.82833,0.86191,0.00102725,0.00102725,0.00102725
20,43.8806,1.26088,0.87096,0.88322,0.97009,0.55439,0.65297,0.39342,1.24606,0.80538,0.88116,0.00101488,0.00101488,0.00101488
21,45.9241,1.27032,0.87598,0.89304,0.91398,0.65334,0.65807,0.41533,1.17308,0.76377,0.86908,0.0010025,0.0010025,0.0010025
22,48.025,1.24517,0.86035,0.89821,0.95884,0.66491,0.65918,0.41719,1.15795,0.75182,0.86321,0.000990125,0.000990125,0.000990125
23,50.1042,1.22082,0.84086,0.8887,0.97568,0.60417,0.65909,0.42421,1.1793,0.73891,0.86276,0.00097775,0.00097775,0.00097775
24,52.1958,1.19834,0.81308,0.88662,0.98795,0.61623,0.65957,0.42157,1.18825,0.75788,0.8684,0.000965375,0.000965375,0.000965375
25,54.2668,1.22713,0.81799,0.89011,0.95068,0.59206,0.65451,0.4077,1.1045,0.71584,0.85562,0.000953,0.000953,0.000953
26,56.3202,1.21017,0.81596,0.88241,0.95076,0.52666,0.65369,0.4088,1.10593,0.72952,0.85227,0.000940625,0.000940625,0.000940625
27,58.414,1.14884,0.804,0.88322,0.92371,0.6376,0.65888,0.40274,1.1161,0.74008,0.85813,0.00092825,0.00092825,0.00092825
28,60.5216,1.15438,0.77863,0.87658,0.87752,0.62338,0.66265,0.39499,1.18434,0.78904,0.86642,0.000915875,0.000915875,0.000915875
29,62.5856,1.21409,0.80005,0.89408,0.93819,0.66525,0.65924,0.41528,1.1338,0.74599,0.85812,0.0009035,0.0009035,0.0009035
30,64.6489,1.15208,0.79679,0.88379,0.99531,0.65948,0.66333,0.40491,1.13278,0.69727,0.85659,0.000891125,0.000891125,0.000891125
31,66.6726,1.17051,0.78218,0.88045,0.99296,0.66667,0.66311,0.43439,1.08769,0.68281,0.85614,0.00087875,0.00087875,0.00087875
32,68.838,1.17767,0.779,0.87544,0.97871,0.64061,0.66319,0.42668,1.11855,0.66848,0.85842,0.000866375,0.000866375,0.000866375
33,70.9292,1.12897,0.75687,0.86991,0.96429,0.64583,0.66213,0.41577,1.16054,0.68631,0.86418,0.000854,0.000854,0.000854
34,73.0471,1.11307,0.73452,0.87538,0.98813,0.66249,0.66305,0.42045,1.09742,0.63436,0.8522,0.000841625,0.000841625,0.000841625
