epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.64419,1.54224,3.6529,0.96864,0.90566,0.2963,0.33894,0.19978,1.23027,2.44611,0.88191,0.0001125,0.0001125,0.0001125
2,7.38256,1.42361,1.25796,0.92208,0.92098,0.40735,0.48383,0.29198,1.29654,2.01594,0.88326,0.000235149,0.000235149,0.000235149
3,11.0282,1.40546,1.09354,0.93346,0.89309,0.52534,0.62664,0.33878,1.48013,1.73571,0.93194,0.000355322,0.000355322,0.000355322
4,14.6939,1.29465,0.94754,0.91653,0.82724,0.56072,0.63523,0.37688,1.20999,1.08161,0.86529,0.000473021,0.000473021,0.000473021
5,18.4262,1.30169,0.84307,0.89874,0.82599,0.66237,0.7512,0.38084,1.25861,1.07337,0.86506,0.000588245,0.000588245,0.000588245
6,22.1035,1.27824,0.80595,0.904,0.56727,0.57674,0.678,0.40161,1.17828,0.80917,0.86408,0.000700994,0.000700994,0.000700994
7,26.508,1.24493,0.76648,0.89229,0.75882,0.70833,0.73658,0.3965,1.26787,0.76879,0.8726,0.000811267,0.000811267,0.000811267
8,30.2325,1.28702,0.72696,0.88499,0.79798,0.63503,0.70464,0.38982,1.21518,0.74323,0.87132,0.000919066,0.000919066,0.000919066
9,33.8667,1.25067,0.69844,0.89715,0.66087,0.71604,0.73856,0.40996,1.31986,0.81074,0.87031,0.00102439,0.00102439,0.00102439
10,37.5566,1.25815,0.69254,0.8992,0.73297,0.63444,0.68618,0.35098,1.31686,0.82979,0.8978,0.00112724,0.00112724,0.00112724
11,41.1377,1.18107,0.67474,0.87113,0.54026,0.571,0.61741,0.33171,1.39616,0.84531,0.90122,0.00112625,0.00112625,0.00112625
12,44.6931,1.16848,0.68785,0.87545,0.74893,0.80444,0.82132,0.47309,1.20448,0.68677,0.86808,0.00111388,0.00111388,0.00111388
13,48.2951,1.18697,0.6658,0.87899,0.96978,0.8068,0.85735,0.47658,1.16258,0.62748,0.86008,0.0011015,0.0011015,0.0011015
14,51.9221,1.15783,0.63466,0.87525,0.92657,0.8125,0.84903,0.46474,1.11232,0.57966,0.84307,0.00108913,0.00108913,0.00108913
15,55.3935,1.1154,0.60956,0.86634,0.91228,0.76427,0.89117,0.48034,1.16547,0.60284,0.85985,0.00107675,0.00107675,0.00107675
16,58.9143,1.12482,0.61455,0.87193,0.83358,0.82323,0.87165,0.48151,1.23986,0.62355,0.86917,0.00106437,0.00106437,0.00106437
17,62.3373,1.1214,0.61403,0.88143,0.88649,0.79949,0.86842,0.5078,1.10986,0.62082,0.85208,0.001052,0.001052,0.001052
