epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.36222,1.6722,3.54053,0.97471,0.83221,0.45113,0.42703,0.24119,1.24362,3.53641,0.8727,0.00015003,0.00015003,0.00015003
2,15.1022,1.4451,0.984,0.94669,0.87694,0.42607,0.42813,0.23669,1.43631,1.35657,0.91755,0.00031464,0.00031464,0.00031464
3,22.8647,1.3169,0.81716,0.92526,0.60189,0.61748,0.54895,0.24959,1.38336,1.61804,0.91342,0.000477049,0.000477049,0.000477049
4,30.9823,1.35101,0.7694,0.93208,0.70445,0.51363,0.54373,0.27881,1.41084,1.15056,0.96394,0.000637257,0.000637257,0.000637257
5,38.9874,1.32223,0.77623,0.92345,0.4011,0.58382,0.38092,0.19352,1.48597,22.8331,0.97462,0.000795266,0.000795266,0.000795266
6,46.6242,1.28782,0.74413,0.92162,0.32608,0.25375,0.26718,0.12358,1.7941,3.4926,1.06799,0.000951074,0.000951074,0.000951074
7,54.1347,1.33499,0.83675,0.93326,0.44511,0.47697,0.3445,0.17203,1.61152,1.71741,0.98607,0.00110468,0.00110468,0.00110468
8,61.5662,1.35522,0.87784,0.91946,0.85776,0.2553,0.26853,0.14622,1.81405,2.03141,1.14496,0.00125609,0.00125609,0.00125609
9,68.917,1.4206,0.74428,0.97614,0.31646,0.17293,0.21233,0.10632,2.02265,2.20993,1.35079,0.00140529,0.00140529,0.00140529
10,76.2308,1.33286,0.73697,0.93778,0.33973,0.20301,0.21297,0.12037,1.84012,6.65809,1.25984,0.0015523,0.0015523,0.0015523
11,83.5388,1.25425,0.71102,0.90421,0.39955,0.23308,0.2451,0.14135,1.83046,14.4712,1.15121,0.00155698,0.00155698,0.00155698
12,90.9186,1.27936,0.67052,0.90696,0.75755,0.31034,0.34965,0.18679,1.66901,1.39249,1.09832,0.00154598,0.00154598,0.00154598
13,98.2453,1.33642,0.69966,0.93044,0.73825,0.35949,0.44171,0.23008,1.47285,1.12653,0.97927,0.00153497,0.00153497,0.00153497
