epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.57744,1.69654,3.50264,1.02438,0.01295,0.18045,0.10283,0.03725,1.425,3.56954,0.88352,0.00015003,0.00015003,0.00015003
2,4.87205,1.59626,2.32462,0.95186,0.00576,0.08271,0.02855,0.00512,1.46837,3.59046,0.91077,0.00031464,0.00031464,0.00031464
3,7.09102,1.57106,1.49757,0.94268,0.00791,0.11278,0.049,0.01107,1.56234,3.33899,0.96185,0.000477049,0.000477049,0.000477049
4,9.26367,1.57338,1.21722,0.96008,0.01752,0.2406,0.16477,0.07088,1.37885,3.11602,0.89211,0.000637257,0.000637257,0.000637257
5,11.4924,1.53058,1.06323,0.95458,0.02183,0.27444,0.14027,0.07621,1.28178,3.00105,0.87286,0.000795266,0.000795266,0.000795266
6,13.7051,1.4669,1.02002,0.95454,0.03145,0.3985,0.33524,0.18461,1.29586,2.71524,0.87139,0.000951074,0.000951074,0.000951074
7,15.8939,1.40202,0.96312,0.93244,0.03386,0.46992,0.44291,0.23823,1.24976,2.43588,0.87009,0.00110468,0.00110468,0.00110468
8,18.0739,1.452,0.95258,0.92782,0.99246,0.24557,0.4615,0.23118,1.44227,2.09972,0.88708,0.00125609,0.00125609,0.00125609
9,20.2683,1.57911,1.01984,0.96149,1,0.2809,0.46346,0.23141,1.50992,1.90186,0.89031,0.00140529,0.00140529,0.00140529
10,22.42,1.51087,0.97302,0.94386,0.98732,0.43351,0.48031,0.24011,1.513,1.59523,0.89638,0.0015523,0.0015523,0.0015523
11,24.6352,1.52626,0.97944,0.92729,0.96332,0.42736,0.48215,0.28931,1.29745,1.39152,0.87295,0.00155698,0.00155698,0.00155698
12,26.828,1.42307,0.92377,0.91399,0.96744,0.4858,0.48998,0.30429,1.31182,1.0782,0.87,0.00154598,0.00154598,0.00154598
13,29.0441,1.43185,0.92801,0.92679,0.96871,0.45865,0.48743,0.29794,1.26115,0.98483,0.86944,0.00153497,0.00153497,0.00153497
14,31.2665,1.34548,0.87196,0.91488,0.97681,0.46388,0.49133,0.31133,1.20914,0.98378,0.86314,0.00152397,0.00152397,0.00152397
15,33.4648,1.36676,0.84976,0.90943,0.96253,0.47368,0.48841,0.30661,1.22932,0.96764,0.86817,0.00151297,0.00151297,0.00151297
16,35.6606,1.35812,0.86175,0.91439,0.97432,0.47744,0.4944,0.32282,1.17576,0.81879,0.86583,0.00150197,0.00150197,0.00150197
17,37.8256,1.35457,0.83641,0.91959,0.9771,0.48872,0.4961,0.31309,1.22296,0.77654,0.86732,0.00149096,0.00149096,0.00149096
18,39.9814,1.41234,0.87296,0.92195,0.98877,0.49075,0.49594,0.31492,1.19159,0.80567,0.87317,0.00147996,0.00147996,0.00147996
19,42.1232,1.34577,0.84473,0.89437,0.97665,0.48496,0.49569,0.30963,1.27472,0.79441,0.87913,0.00146896,0.00146896,0.00146896
20,44.2949,1.28774,0.82288,0.89395,0.96676,0.5,0.49196,0.31636,1.16453,0.7397,0.86984,0.00145796,0.00145796,0.00145796
21,46.4018,1.2902,0.80957,0.89368,0.98247,0.48872,0.49518,0.32198,1.17009,0.70364,0.86049,0.00144696,0.00144696,0.00144696
22,48.5687,1.22617,0.78416,0.89883,0.98509,0.48924,0.49665,0.32091,1.1389,0.69027,0.86545,0.00143595,0.00143595,0.00143595
23,50.6937,1.21119,0.75324,0.8961,0.96749,0.4866,0.49127,0.31713,1.1824,0.68645,0.86809,0.00142495,0.00142495,0.00142495
