epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.83607,1.62728,3.11626,1.02787,0.96129,0.44737,0.47813,0.27689,1.31485,1.68021,0.9123,0.00015003,0.00015003,0.00015003
2,7.61036,1.45713,1.10416,0.93386,0.9281,0.43609,0.46391,0.23888,1.541,1.72362,0.92642,0.00031464,0.00031464,0.00031464
3,11.1965,1.38517,0.94956,0.9212,0.93151,0.45865,0.47572,0.29888,1.20289,1.27411,0.86619,0.000477049,0.000477049,0.000477049
4,14.8698,1.35983,0.88394,0.9235,0.95789,0.46617,0.48725,0.29987,1.29248,1.198,0.88855,0.000637257,0.000637257,0.000637257
5,18.6041,1.32127,0.80931,0.91453,0.55707,0.51739,0.52135,0.25448,1.42364,1.09153,0.94979,0.000795266,0.000795266,0.000795266
6,22.234,1.30403,0.77992,0.91503,0.67474,0.49277,0.60704,0.34227,1.28182,0.80521,0.87817,0.000951074,0.000951074,0.000951074
7,25.9174,1.35842,0.73436,0.90698,0.83733,0.60742,0.62322,0.33106,1.34657,0.78427,0.87324,0.00110468,0.00110468,0.00110468
8,30.3877,1.35395,0.73699,0.8999,0.9099,0.61103,0.62165,0.37916,1.26593,0.70557,0.86235,0.00125609,0.00125609,0.00125609
9,34.1087,1.31305,0.72107,0.91139,0.69319,0.61562,0.63529,0.3531,1.28269,0.72161,0.87406,0.00140529,0.00140529,0.00140529
10,37.739,1.29525,0.69679,0.917,0.78611,0.539,0.58767,0.33756,1.28125,0.69148,0.88281,0.0015523,0.0015523,0.0015523
11,41.3138,1.27381,0.70692,0.89474,0.88177,0.53271,0.61582,0.37996,1.22082,0.70798,0.88471,0.00155698,0.00155698,0.00155698
12,44.9624,1.24566,0.69386,0.89116,0.93802,0.61377,0.73222,0.43554,1.19346,0.65534,0.87586,0.00154598,0.00154598,0.00154598
13,48.5487,1.27586,0.70057,0.90768,0.95753,0.66631,0.81062,0.41854,1.24687,0.69594,0.87915,0.00153497,0.00153497,0.00153497
14,52.0424,1.22182,0.65564,0.8973,0.77715,0.7202,0.75189,0.392,1.19298,0.61693,0.86065,0.00152397,0.00152397,0.00152397
15,55.4918,1.20576,0.64077,0.88753,0.58638,0.55188,0.55072,0.35526,1.16908,0.66526,0.87364,0.00151297,0.00151297,0.00151297
16,58.9586,1.18152,0.62575,0.89124,0.70978,0.52867,0.59817,0.34077,1.32756,0.72684,0.88924,0.00150197,0.00150197,0.00150197
17,62.3789,1.23936,0.6333,0.89989,0.95722,0.60549,0.68645,0.37454,1.18587,0.74287,0.86605,0.00149096,0.00149096,0.00149096
18,65.8246,1.17438,0.63519,0.8849,0.82532,0.71029,0.84024,0.45873,1.12546,0.66576,0.85185,0.00147996,0.00147996,0.00147996
19,69.3682,1.15206,0.62457,0.86279,0.86042,0.77047,0.83148,0.44008,1.21018,0.63276,0.86507,0.00146896,0.00146896,0.00146896
20,72.8292,1.13402,0.60992,0.86791,0.85575,0.80874,0.83871,0.4215,1.14975,0.608,0.85353,0.00145796,0.00145796,0.00145796
21,76.2354,1.1445,0.60804,0.87432,0.95808,0.72573,0.78074,0.38402,1.18452,0.61765,0.85562,0.00144696,0.00144696,0.00144696
22,79.9788,1.08062,0.58796,0.87334,0.8433,0.75,0.81118,0.44631,1.05658,0.55861,0.84089,0.00143595,0.00143595,0.00143595
23,83.3817,1.07308,0.57178,0.87254,0.95815,0.74624,0.77256,0.45222,1.09079,0.56125,0.84463,0.00142495,0.00142495,0.00142495
24,86.8164,1.1207,0.57946,0.87169,0.85965,0.75,0.76402,0.42073,1.13468,0.5783,0.85843,0.00141395,0.00141395,0.00141395
25,90.2564,1.1127,0.58854,0.86813,0.94014,0.73889,0.80817,0.44185,1.08153,0.58092,0.8468,0.00140295,0.00140295,0.00140295
26,93.7165,1.08067,0.57265,0.86289,0.91243,0.73438,0.78854,0.48162,1.04177,0.54641,0.84262,0.00139195,0.00139195,0.00139195
27,97.2403,1.04984,0.55598,0.87308,0.83998,0.72857,0.77591,0.44289,1.09815,0.58239,0.86156,0.00138094,0.00138094,0.00138094
28,100.724,1.08531,0.58371,0.86948,0.89359,0.65235,0.83138,0.44415,1.09409,0.63604,0.84792,0.00136994,0.00136994,0.00136994
29,104.173,1.06507,0.5702,0.86476,0.8917,0.625,0.77194,0.42918,1.08859,0.57736,0.85639,0.00135894,0.00135894,0.00135894
30,107.659,1.04653,0.5848,0.87017,0.60265,0.625,0.57435,0.36516,1.09114,0.57934,0.84921,0.00134794,0.00134794,0.00134794
31,111.124,1.06619,0.55983,0.86973,0.77447,0.8125,0.7646,0.43754,1.07147,0.56761,0.84493,0.00133693,0.00133693,0.00133693
32,114.634,1.04823,0.54404,0.86091,0.78822,0.75,0.76404,0.43697,1.04756,0.55195,0.84599,0.00132593,0.00132593,0.00132593
33,118.124,1.03798,0.53865,0.85941,0.95273,0.74496,0.807,0.4322,1.05895,0.58073,0.84301,0.00131493,0.00131493,0.00131493
34,121.632,1.0712,0.54985,0.86516,0.95763,0.61372,0.68663,0.41817,1.10504,0.56473,0.85108,0.00130393,0.00130393,0.00130393
35,125.107,1.03717,0.57123,0.86013,0.97759,0.68209,0.78444,0.4545,1.03277,0.55561,0.84489,0.00129293,0.00129293,0.00129293
36,128.868,0.98995,0.54147,0.85161,0.80973,0.875,0.84447,0.4855,1.01746,0.55393,0.84062,0.00128192,0.00128192,0.00128192
37,132.415,1.01766,0.53791,0.85891,0.91088,0.8125,0.83678,0.48927,1.031,0.54225,0.84525,0.00127092,0.00127092,0.00127092
38,135.989,0.99851,0.54087,0.85333,0.96851,0.68617,0.7587,0.4735,1.04882,0.54962,0.84991,0.00125992,0.00125992,0.00125992
39,139.44,0.99432,0.52866,0.86499,0.86775,0.86956,0.86214,0.51334,0.99586,0.51131,0.83694,0.00124892,0.00124892,0.00124892
40,142.987,0.99168,0.52743,0.85343,0.96513,0.85296,0.87642,0.5366,0.99208,0.51804,0.83956,0.00123791,0.00123791,0.00123791
41,146.549,0.97364,0.51505,0.8482,0.84444,0.875,0.85887,0.51101,1.01169,0.519,0.84198,0.00122691,0.00122691,0.00122691
