epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7515,1.4901,1.7051,0.92131,0.29592,0.40428,0.31179,0.16645,1.54142,1.59374,0.93099,0.000406504,0.000406504,0.000406504
2,58.5327,1.40775,0.8843,0.88925,0.57563,0.42003,0.4474,0.24898,1.2301,0.90899,0.87597,0.000817738,0.000817738,0.000817738
3,86.3109,1.3878,0.81541,0.88418,0.57215,0.57492,0.51208,0.26319,1.49172,1.23789,0.95017,0.00122347,0.00122347,0.00122347
4,114.467,1.36808,0.79276,0.8816,0.51743,0.56331,0.50344,0.28056,1.24926,0.91878,0.87137,0.00122525,0.00122525,0.00122525
5,142.778,1.37476,0.76865,0.87478,0.60717,0.51084,0.5428,0.30048,1.20337,0.79788,0.86786,0.001217,0.001217,0.001217
6,170.738,1.24998,0.69364,0.86032,0.69415,0.66546,0.6578,0.37115,1.11349,0.67196,0.84824,0.00120875,0.00120875,0.00120875
7,198.771,1.24574,0.69143,0.862,0.7614,0.61983,0.68361,0.39046,1.20249,0.84328,0.86668,0.0012005,0.0012005,0.0012005
8,226.867,1.22158,0.68105,0.85822,0.80989,0.69646,0.75067,0.41169,1.23827,0.70834,0.87102,0.00119225,0.00119225,0.00119225
9,255.108,1.24075,0.65325,0.86607,0.7255,0.64816,0.69828,0.40552,1.08058,0.62415,0.85077,0.001184,0.001184,0.001184
10,283.068,1.2116,0.64234,0.85579,0.77017,0.65125,0.71975,0.42401,1.10583,0.61974,0.85121,0.00117575,0.00117575,0.00117575
11,311.122,1.1942,0.62784,0.85362,0.78089,0.71307,0.75092,0.46177,1.00974,0.56532,0.83548,0.0011675,0.0011675,0.0011675
12,339.189,1.13504,0.59668,0.84541,0.82384,0.70689,0.756,0.44596,1.06833,0.56208,0.8464,0.00115925,0.00115925,0.00115925
13,367.149,1.19012,0.62842,0.85805,0.82352,0.66095,0.75714,0.44326,1.05509,0.60016,0.84791,0.001151,0.001151,0.001151
14,395.113,1.17178,0.62153,0.85352,0.76975,0.68472,0.73991,0.45033,1.04156,0.61396,0.84622,0.00114275,0.00114275,0.00114275
15,423.165,1.27931,0.65388,0.86228,0.7355,0.61258,0.68748,0.41196,1.12218,0.6276,0.85569,0.0011345,0.0011345,0.0011345
16,451.083,1.16147,0.60567,0.8497,0.71381,0.66365,0.72361,0.39423,1.20776,0.6427,0.85543,0.00112625,0.00112625,0.00112625
17,479.017,1.17709,0.61187,0.85304,0.8423,0.71728,0.77513,0.46865,1.0532,0.54319,0.83976,0.001118,0.001118,0.001118
18,507.146,1.11153,0.58079,0.847,0.75839,0.71923,0.74842,0.44709,1.04148,0.59818,0.84432,0.00110975,0.00110975,0.00110975
19,535.102,1.0765,0.55828,0.83682,0.81528,0.70698,0.77293,0.46406,1.03854,0.57722,0.83835,0.0011015,0.0011015,0.0011015
20,563.096,1.09911,0.56098,0.83876,0.73897,0.75934,0.76313,0.47747,1.01575,0.54434,0.83827,0.00109325,0.00109325,0.00109325
21,591.239,1.07497,0.544,0.83951,0.83279,0.74998,0.80713,0.50567,0.96563,0.51352,0.83411,0.001085,0.001085,0.001085
22,619.348,1.06464,0.54398,0.83152,0.87589,0.75883,0.81966,0.52046,0.97584,0.50609,0.83258,0.00107675,0.00107675,0.00107675
23,647.511,1.04358,0.53343,0.83597,0.82249,0.75181,0.801,0.47551,0.98917,0.51964,0.8337,0.0010685,0.0010685,0.0010685
24,675.434,1.03663,0.52999,0.83165,0.81275,0.77176,0.80351,0.49897,0.98012,0.52829,0.83561,0.00106025,0.00106025,0.00106025
25,703.285,1.09014,0.55356,0.83622,0.74139,0.74084,0.77026,0.48032,1.01176,0.52981,0.83367,0.001052,0.001052,0.001052
26,731.185,1.05511,0.53443,0.83371,0.80647,0.74292,0.80022,0.51215,0.98208,0.51152,0.83403,0.00104375,0.00104375,0.00104375
27,759.166,1.05448,0.53194,0.83564,0.86042,0.76498,0.80703,0.49437,1.00459,0.5222,0.83437,0.0010355,0.0010355,0.0010355
28,787.182,1.04856,0.53666,0.83288,0.79681,0.76512,0.80017,0.48181,0.9821,0.53068,0.83476,0.00102725,0.00102725,0.00102725
29,815.09,1.04755,0.53819,0.83448,0.85835,0.76827,0.81381,0.50767,0.96554,0.50081,0.82938,0.001019,0.001019,0.001019
30,842.974,1.02194,0.51629,0.82972,0.82438,0.75748,0.7938,0.5067,0.94899,0.48663,0.82978,0.00101075,0.00101075,0.00101075
31,870.939,1.04699,0.52436,0.83348,0.83838,0.77486,0.80417,0.50441,0.96963,0.50842,0.83169,0.0010025,0.0010025,0.0010025
32,898.834,1.06576,0.52665,0.83146,0.85012,0.7446,0.79479,0.48238,1.00987,0.51625,0.83148,0.00099425,0.00099425,0.00099425
33,926.736,1.00664,0.50578,0.83064,0.89596,0.76687,0.81403,0.51023,0.98977,0.49779,0.83773,0.000986,0.000986,0.000986
