epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.65489,1.73447,2.84565,0.96911,0.00314,0.03325,0.00536,0.00193,1.55678,3.78253,0.89445,0.000406504,0.000406504,0.000406504
2,18.382,1.58436,1.36362,0.91424,0.04003,0.34349,0.19965,0.10563,1.34654,2.65513,0.86811,0.000817738,0.000817738,0.000817738
3,27.0707,1.51124,1.2019,0.89914,0.76628,0.20912,0.23063,0.12309,1.49358,1.65475,0.90272,0.00122347,0.00122347,0.00122347
4,35.7248,1.5402,1.17133,0.90178,0.75651,0.25179,0.25181,0.13598,1.35523,1.24474,0.87907,0.00122525,0.00122525,0.00122525
5,44.2336,1.42067,1.07759,0.88544,0.81484,0.2771,0.29786,0.17596,1.29171,0.9331,0.8737,0.001217,0.001217,0.001217
6,52.7436,1.39265,1.02326,0.87325,0.82777,0.3063,0.34814,0.20669,1.18598,0.85753,0.86439,0.00120875,0.00120875,0.00120875
7,61.2438,1.42155,0.98383,0.87998,0.5751,0.40404,0.35447,0.19094,1.34734,0.93673,0.87722,0.0012005,0.0012005,0.0012005
8,69.6688,1.42747,0.94142,0.88319,0.7,0.48274,0.50313,0.26539,1.27835,0.79615,0.87695,0.00119225,0.00119225,0.00119225
9,78.1195,1.37218,0.88873,0.87775,0.81626,0.53968,0.57398,0.32849,1.17698,0.72873,0.85857,0.001184,0.001184,0.001184
10,86.5173,1.36658,0.8622,0.87241,0.80637,0.5611,0.59034,0.33427,1.22792,0.75452,0.86382,0.00117575,0.00117575,0.00117575
11,94.9179,1.34146,0.84679,0.86975,0.87657,0.54004,0.63017,0.37265,1.15296,0.67962,0.85648,0.0011675,0.0011675,0.0011675
12,103.344,1.3003,0.80573,0.86402,0.78737,0.59673,0.6322,0.36152,1.17721,0.68973,0.85341,0.00115925,0.00115925,0.00115925
13,111.748,1.32219,0.78901,0.86433,0.87442,0.56656,0.66977,0.37605,1.16353,0.67291,0.85353,0.001151,0.001151,0.001151
14,120.207,1.32777,0.75946,0.86632,0.80273,0.60749,0.65326,0.36753,1.21676,0.68374,0.86419,0.00114275,0.00114275,0.00114275
15,128.641,1.29262,0.74435,0.85876,0.84245,0.62141,0.68204,0.38384,1.20001,0.67363,0.8541,0.0011345,0.0011345,0.0011345
16,137.128,1.24783,0.72972,0.85605,0.74768,0.60163,0.64679,0.36733,1.09926,0.63893,0.84786,0.00112625,0.00112625,0.00112625
17,145.488,1.34621,0.7556,0.86529,0.75282,0.53147,0.61742,0.28432,1.51368,0.77954,0.87754,0.001118,0.001118,0.001118
18,153.952,1.38331,0.79286,0.87012,0.76564,0.64092,0.66131,0.38766,1.13391,0.71018,0.85259,0.00110975,0.00110975,0.00110975
19,162.298,1.24977,0.73301,0.85565,0.82209,0.62716,0.70024,0.39831,1.13976,0.64972,0.84781,0.0011015,0.0011015,0.0011015
20,170.747,1.23505,0.71513,0.85079,0.82123,0.65441,0.70655,0.41003,1.11259,0.64013,0.84401,0.00109325,0.00109325,0.00109325
21,179.138,1.2352,0.70364,0.85496,0.78051,0.67797,0.69592,0.39013,1.1588,0.62765,0.84801,0.001085,0.001085,0.001085
22,187.478,1.30489,0.71294,0.85891,0.85696,0.63112,0.70278,0.41002,1.1486,0.63275,0.8466,0.00107675,0.00107675,0.00107675
23,195.797,1.2258,0.68294,0.85639,0.83327,0.66058,0.71854,0.41903,1.10761,0.61645,0.84551,0.0010685,0.0010685,0.0010685
24,204.264,1.19012,0.66959,0.84694,0.83097,0.64823,0.7125,0.40893,1.13567,0.63193,0.85069,0.00106025,0.00106025,0.00106025
25,212.63,1.19639,0.67104,0.84876,0.76396,0.68299,0.71205,0.42216,1.10693,0.62652,0.84329,0.001052,0.001052,0.001052
26,221.014,1.18615,0.65859,0.84717,0.82392,0.67809,0.72935,0.42137,1.11041,0.61212,0.84286,0.00104375,0.00104375,0.00104375
27,229.412,1.19346,0.65754,0.84929,0.80116,0.6646,0.7286,0.42057,1.10926,0.60603,0.84295,0.0010355,0.0010355,0.0010355
28,237.793,1.18024,0.64414,0.8456,0.82708,0.66557,0.72242,0.41398,1.10922,0.60943,0.84509,0.00102725,0.00102725,0.00102725
29,246.163,1.23415,0.66329,0.85126,0.86363,0.62644,0.71542,0.42298,1.08741,0.59593,0.8434,0.001019,0.001019,0.001019
30,254.518,1.20154,0.64313,0.84814,0.91677,0.65121,0.74254,0.43575,1.10665,0.59426,0.84436,0.00101075,0.00101075,0.00101075
31,262.842,1.23996,0.65088,0.85041,0.80839,0.68099,0.71968,0.39743,1.19138,0.61604,0.84747,0.0010025,0.0010025,0.0010025
32,271.153,1.24547,0.65813,0.85074,0.85845,0.68281,0.74399,0.44804,1.05772,0.58496,0.83809,0.00099425,0.00099425,0.00099425
33,279.556,1.14503,0.62824,0.84438,0.77961,0.62919,0.69965,0.4103,1.07652,0.60791,0.8408,0.000986,0.000986,0.000986
34,287.889,1.20194,0.65743,0.847,0.82881,0.65069,0.71902,0.41904,1.12488,0.62289,0.85054,0.00097775,0.00097775,0.00097775
35,296.284,1.17274,0.63047,0.84118,0.82595,0.70063,0.74578,0.44708,1.06573,0.57738,0.83998,0.0009695,0.0009695,0.0009695
36,304.709,1.19,0.63053,0.84014,0.80662,0.70642,0.7256,0.43376,1.06518,0.57795,0.84021,0.00096125,0.00096125,0.00096125
37,313.05,1.14127,0.61217,0.83845,0.84632,0.67488,0.74574,0.45001,1.05794,0.56196,0.8386,0.000953,0.000953,0.000953
38,321.425,1.13762,0.61777,0.83892,0.81887,0.66052,0.72375,0.43544,1.06113,0.57659,0.84338,0.00094475,0.00094475,0.00094475
39,329.805,1.14087,0.61069,0.84332,0.81063,0.65896,0.71117,0.41766,1.06861,0.60621,0.84128,0.0009365,0.0009365,0.0009365
40,338.187,1.15574,0.61239,0.84275,0.84365,0.70496,0.75107,0.43997,1.08892,0.57833,0.84157,0.00092825,0.00092825,0.00092825
41,346.589,1.17561,0.61773,0.84134,0.79336,0.63152,0.70895,0.39704,1.11201,0.59679,0.84658,0.00092,0.00092,0.00092
42,354.934,1.1592,0.62067,0.83946,0.84264,0.69665,0.75281,0.44992,1.05011,0.56503,0.83919,0.00091175,0.00091175,0.00091175
43,363.358,1.15402,0.61377,0.8438,0.81432,0.71506,0.75798,0.45218,1.04645,0.57318,0.83592,0.0009035,0.0009035,0.0009035
44,371.668,1.12833,0.59537,0.83733,0.88355,0.70952,0.76168,0.47226,1.01751,0.55066,0.83411,0.00089525,0.00089525,0.00089525
45,380.066,1.15364,0.60963,0.83863,0.84901,0.68445,0.73685,0.43132,1.07913,0.58455,0.84011,0.000887,0.000887,0.000887
46,388.474,1.13617,0.59204,0.83847,0.87465,0.69342,0.75189,0.45183,1.0625,0.56212,0.83762,0.00087875,0.00087875,0.00087875
47,396.846,1.12643,0.58962,0.8347,0.88242,0.68708,0.75371,0.4625,1.02383,0.53723,0.83514,0.0008705,0.0008705,0.0008705
48,405.088,1.12003,0.58218,0.83665,0.86749,0.69121,0.755,0.44204,1.08567,0.55933,0.83718,0.00086225,0.00086225,0.00086225
49,413.41,1.15249,0.5963,0.83355,0.86375,0.71562,0.76518,0.46214,1.03941,0.54992,0.8369,0.000854,0.000854,0.000854
50,421.784,1.10906,0.57811,0.83319,0.88825,0.71595,0.77587,0.47276,1.01711,0.52926,0.83434,0.00084575,0.00084575,0.00084575
51,430.148,1.11774,0.56935,0.83492,0.86903,0.69372,0.76678,0.45063,1.05627,0.55037,0.83843,0.0008375,0.0008375,0.0008375
52,438.449,1.12629,0.57968,0.83541,0.85904,0.71947,0.7767,0.47334,1.03042,0.53947,0.83443,0.00082925,0.00082925,0.00082925
53,446.834,1.11047,0.57928,0.83393,0.87687,0.72549,0.78068,0.4798,1.00707,0.54272,0.8333,0.000821,0.000821,0.000821
54,455.129,1.07856,0.57205,0.83019,0.85115,0.68645,0.76024,0.47364,1.01139,0.54476,0.83133,0.00081275,0.00081275,0.00081275
55,463.488,1.07409,0.56809,0.83208,0.83124,0.7225,0.76016,0.46789,1.0099,0.53526,0.83219,0.0008045,0.0008045,0.0008045
56,471.795,1.10437,0.56648,0.83017,0.81647,0.72277,0.75877,0.45196,1.05095,0.54097,0.83747,0.00079625,0.00079625,0.00079625
57,480.129,1.1062,0.56842,0.83267,0.9079,0.6938,0.7809,0.46662,1.03184,0.53425,0.83633,0.000788,0.000788,0.000788
58,488.51,1.12644,0.58187,0.83339,0.83439,0.72104,0.76986,0.4591,1.02962,0.5409,0.83766,0.00077975,0.00077975,0.00077975
59,496.913,1.07966,0.56098,0.83151,0.82835,0.72973,0.77098,0.47304,1.02085,0.53267,0.83666,0.0007715,0.0007715,0.0007715
60,505.22,1.10042,0.5616,0.83038,0.87447,0.72014,0.76811,0.47553,1.04559,0.54118,0.83779,0.00076325,0.00076325,0.00076325
61,513.603,1.06507,0.56465,0.83089,0.85532,0.72717,0.76406,0.47268,1.01737,0.53332,0.83217,0.000755,0.000755,0.000755
62,522.054,1.10993,0.57791,0.82968,0.82942,0.72721,0.7625,0.47255,1.03064,0.54523,0.83304,0.00074675,0.00074675,0.00074675
63,530.435,1.09649,0.57335,0.83331,0.86457,0.70781,0.76807,0.46742,1.02491,0.54312,0.835,0.0007385,0.0007385,0.0007385
64,538.98,1.08367,0.56022,0.83207,0.87556,0.72822,0.77532,0.48546,0.99606,0.52018,0.83192,0.00073025,0.00073025,0.00073025
65,547.385,1.05276,0.54156,0.82985,0.82452,0.75253,0.78862,0.47762,0.99136,0.51641,0.83119,0.000722,0.000722,0.000722
66,555.74,1.08663,0.56282,0.82693,0.83571,0.7212,0.77681,0.47544,1.03092,0.53806,0.83358,0.00071375,0.00071375,0.00071375
67,564.128,1.07594,0.54646,0.82682,0.85894,0.71876,0.77156,0.46678,1.00797,0.52574,0.83237,0.0007055,0.0007055,0.0007055
68,572.477,1.05196,0.54674,0.82574,0.82912,0.7307,0.76836,0.47395,0.99225,0.52545,0.8304,0.00069725,0.00069725,0.00069725
69,580.917,1.08078,0.55035,0.82777,0.85953,0.72591,0.78394,0.4831,0.98811,0.51366,0.83038,0.000689,0.000689,0.000689
70,589.26,1.07128,0.54822,0.82526,0.85562,0.71937,0.77747,0.47445,0.99413,0.51156,0.83149,0.00068075,0.00068075,0.00068075
71,597.607,1.05723,0.5373,0.82521,0.84603,0.72949,0.78167,0.48439,0.98576,0.51238,0.82954,0.0006725,0.0006725,0.0006725
72,605.944,1.05503,0.53153,0.82869,0.85757,0.73927,0.78332,0.48267,0.99065,0.50874,0.82904,0.00066425,0.00066425,0.00066425
73,614.314,1.05776,0.53658,0.82473,0.83728,0.75237,0.78751,0.48733,0.98302,0.506,0.82996,0.000656,0.000656,0.000656
74,622.729,1.03234,0.53324,0.82593,0.88532,0.73092,0.78338,0.48809,0.97431,0.50282,0.82651,0.00064775,0.00064775,0.00064775
75,631.129,1.03565,0.52971,0.82215,0.85542,0.72835,0.77659,0.47985,0.97708,0.51052,0.82676,0.0006395,0.0006395,0.0006395
76,639.408,1.03627,0.5299,0.82334,0.84539,0.73261,0.77937,0.47913,1.00151,0.50602,0.83048,0.00063125,0.00063125,0.00063125
77,647.642,1.03001,0.52446,0.82323,0.85407,0.73239,0.7789,0.48279,0.98896,0.50388,0.82677,0.000623,0.000623,0.000623
78,655.986,1.04375,0.52335,0.82496,0.84997,0.71163,0.76614,0.47386,0.98638,0.51598,0.82959,0.00061475,0.00061475,0.00061475
79,664.361,1.03468,0.52129,0.82306,0.83356,0.72046,0.77903,0.48522,0.97953,0.51014,0.8284,0.0006065,0.0006065,0.0006065
80,672.663,1.02842,0.52543,0.82417,0.84278,0.7154,0.77987,0.48843,0.96833,0.50589,0.82723,0.00059825,0.00059825,0.00059825
81,680.981,1.03253,0.5301,0.82254,0.84229,0.73874,0.77895,0.48332,0.96236,0.50321,0.8248,0.00059,0.00059,0.00059
82,689.354,1.01134,0.51547,0.82389,0.876,0.75266,0.78999,0.48385,0.97068,0.50389,0.82719,0.00058175,0.00058175,0.00058175
83,697.705,1.02274,0.52452,0.82192,0.887,0.72548,0.78499,0.48995,0.97924,0.50337,0.82694,0.0005735,0.0005735,0.0005735
84,706.06,1.04726,0.53199,0.82522,0.88752,0.73009,0.78196,0.49109,0.9866,0.50453,0.82962,0.00056525,0.00056525,0.00056525
85,714.391,1.02595,0.52248,0.82454,0.86104,0.71999,0.77454,0.48553,0.9725,0.49762,0.82677,0.000557,0.000557,0.000557
86,722.769,1.01102,0.51288,0.82149,0.8227,0.75222,0.7718,0.48724,0.98133,0.49662,0.8275,0.00054875,0.00054875,0.00054875
87,731.149,1.0491,0.52813,0.82571,0.88209,0.70649,0.77233,0.47906,0.9933,0.5026,0.82917,0.0005405,0.0005405,0.0005405
88,739.525,1.04817,0.52406,0.82469,0.84116,0.73425,0.76548,0.48293,0.96618,0.49843,0.82867,0.00053225,0.00053225,0.00053225
89,747.902,1.01756,0.50998,0.82439,0.87674,0.73431,0.78261,0.48931,0.96878,0.49579,0.8267,0.000524,0.000524,0.000524
90,756.24,1.01579,0.51324,0.81606,0.88136,0.72206,0.79141,0.48831,0.96139,0.49122,0.82698,0.00051575,0.00051575,0.00051575
91,764.592,1.03098,0.51884,0.82543,0.85012,0.74019,0.77627,0.48761,0.9761,0.4922,0.82555,0.0005075,0.0005075,0.0005075
92,772.886,1.01042,0.51649,0.81894,0.86378,0.70637,0.7615,0.47858,0.96362,0.50355,0.82638,0.00049925,0.00049925,0.00049925
93,781.22,1.01037,0.51012,0.81813,0.84009,0.72097,0.76322,0.48054,0.97812,0.49603,0.82649,0.000491,0.000491,0.000491
94,789.643,1.01017,0.51824,0.82439,0.85161,0.71799,0.77469,0.4748,1.00973,0.50378,0.82819,0.00048275,0.00048275,0.00048275
95,797.946,1.01155,0.51375,0.82244,0.83611,0.7217,0.77132,0.4801,0.96423,0.49749,0.82507,0.0004745,0.0004745,0.0004745
96,806.345,1.01061,0.51338,0.81917,0.83124,0.73821,0.77221,0.49148,0.95573,0.49038,0.82731,0.00046625,0.00046625,0.00046625
97,814.799,1.00079,0.50361,0.82144,0.81444,0.73651,0.77802,0.48894,0.96626,0.49239,0.82524,0.000458,0.000458,0.000458
98,823.139,0.99439,0.50241,0.81976,0.82371,0.75328,0.78588,0.48381,0.95126,0.48601,0.82394,0.00044975,0.00044975,0.00044975
99,831.475,1.00556,0.50567,0.82204,0.82959,0.74037,0.78704,0.48798,0.96611,0.49343,0.82568,0.0004415,0.0004415,0.0004415
100,839.842,0.99879,0.5028,0.81786,0.81777,0.75419,0.7876,0.48707,0.96376,0.48315,0.82398,0.00043325,0.00043325,0.00043325
101,848.121,0.99411,0.49488,0.81789,0.85002,0.75093,0.77911,0.49576,0.93885,0.47713,0.82405,0.000425,0.000425,0.000425
