epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3591,1.50593,1.87901,0.91608,0.25808,0.42916,0.33865,0.19243,1.37858,1.26303,0.92229,0.000406504,0.000406504,0.000406504
2,28.4583,1.39582,0.87965,0.8797,0.56243,0.58572,0.58814,0.33612,1.19752,0.78319,0.85504,0.000817738,0.000817738,0.000817738
3,42.5788,1.30442,0.78872,0.86769,0.6719,0.55489,0.59802,0.33236,1.19045,0.73231,0.85744,0.00122347,0.00122347,0.00122347
4,56.065,1.34899,0.81071,0.8709,0.68454,0.60962,0.63385,0.347,1.15826,0.77595,0.84917,0.00122525,0.00122525,0.00122525
5,69.385,1.27818,0.74668,0.86177,0.77067,0.6493,0.70756,0.40531,1.19144,0.79263,0.86603,0.001217,0.001217,0.001217
6,82.7145,1.25002,0.68747,0.85313,0.84992,0.65872,0.74466,0.42317,1.10508,0.67633,0.84079,0.00120875,0.00120875,0.00120875
7,97.3957,1.23925,0.67887,0.85271,0.73796,0.66957,0.70545,0.38565,1.16437,0.63243,0.84738,0.0012005,0.0012005,0.0012005
8,110.834,1.19185,0.64465,0.85028,0.81277,0.70816,0.74459,0.4462,1.03361,0.58302,0.83936,0.00119225,0.00119225,0.00119225
9,124.469,1.23015,0.65788,0.8534,0.84084,0.67411,0.73043,0.42274,1.09168,0.59024,0.84692,0.001184,0.001184,0.001184
10,137.988,1.19073,0.63913,0.85133,0.83909,0.70779,0.75635,0.43302,1.0892,0.61,0.84437,0.00117575,0.00117575,0.00117575
11,151.386,1.16934,0.63683,0.8477,0.75979,0.72956,0.74089,0.43792,1.09016,0.58936,0.8397,0.0011675,0.0011675,0.0011675
12,164.759,1.16334,0.62832,0.844,0.77897,0.7256,0.74857,0.44527,1.08829,0.63475,0.84111,0.00115925,0.00115925,0.00115925
13,178.08,1.19941,0.65963,0.84689,0.81225,0.68968,0.76778,0.44053,1.09423,0.59445,0.84637,0.001151,0.001151,0.001151
14,191.465,1.18604,0.62126,0.84691,0.80333,0.69667,0.769,0.45397,1.06169,0.5891,0.84344,0.00114275,0.00114275,0.00114275
15,204.92,1.19065,0.61754,0.8483,0.72289,0.67915,0.69667,0.38918,1.13669,0.63052,0.85408,0.0011345,0.0011345,0.0011345
16,218.343,1.12822,0.59182,0.84067,0.76074,0.72874,0.75958,0.44951,1.06544,0.58961,0.84112,0.00112625,0.00112625,0.00112625
17,231.731,1.12351,0.58468,0.84018,0.84682,0.68034,0.77184,0.45545,1.01805,0.56444,0.83558,0.001118,0.001118,0.001118
18,245.284,1.12315,0.58822,0.84204,0.85085,0.70667,0.77549,0.46358,1.05219,0.5586,0.83823,0.00110975,0.00110975,0.00110975
19,258.806,1.097,0.5745,0.83564,0.9015,0.71674,0.79186,0.47194,1.01747,0.55486,0.83089,0.0011015,0.0011015,0.0011015
20,272.344,1.12195,0.58295,0.83766,0.82805,0.70791,0.76723,0.4628,1.04834,0.58272,0.83503,0.00109325,0.00109325,0.00109325
21,286.056,1.21748,0.61626,0.84479,0.76015,0.71094,0.75245,0.42305,1.19439,0.60455,0.85057,0.001085,0.001085,0.001085
22,299.471,1.22104,0.61763,0.84501,0.86911,0.69911,0.79028,0.47876,0.99856,0.55181,0.8346,0.00107675,0.00107675,0.00107675
