epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8597,1.50991,1.54432,0.91801,0.54754,0.5294,0.50912,0.30533,1.22867,1.2727,0.88071,0.000542114,0.000542114,0.000542114
2,60.1144,1.47377,0.84056,0.89821,0.316,0.41849,0.32563,0.16684,1.37977,4.51919,0.89184,0.00109054,0.00109054,0.00109054
3,88.643,1.46538,0.75445,0.9005,0.48336,0.37088,0.31027,0.13673,1.69316,1.32405,0.96467,0.00163162,0.00163162,0.00163162
4,117.72,1.45498,0.76225,0.89654,0.61196,0.55075,0.51787,0.26022,1.31461,0.8888,0.89189,0.00163399,0.00163399,0.00163399
5,146.896,1.31154,0.70014,0.87463,0.64997,0.36325,0.39987,0.19764,1.4215,1.07216,0.92305,0.00162299,0.00162299,0.00162299
6,175.772,1.29702,0.68825,0.86498,0.91917,0.50749,0.61188,0.34841,1.13942,0.84594,0.85258,0.00161199,0.00161199,0.00161199
7,205.052,1.25958,0.64469,0.87082,0.77411,0.62041,0.63327,0.36471,1.13323,0.65948,0.85701,0.00160099,0.00160099,0.00160099
8,234.426,1.22353,0.63054,0.86398,0.81909,0.56759,0.62556,0.368,1.09488,0.59666,0.84795,0.00158998,0.00158998,0.00158998
9,263.476,1.30993,0.65204,0.86916,0.80613,0.54946,0.60632,0.34139,1.20942,0.62935,0.86343,0.00157898,0.00157898,0.00157898
10,292.372,1.28212,0.64882,0.86368,0.7844,0.5975,0.61736,0.36034,1.12594,0.61226,0.85425,0.00156798,0.00156798,0.00156798
11,321.33,1.19801,0.6049,0.86182,0.67406,0.63734,0.627,0.35844,1.13683,0.59274,0.85064,0.00155698,0.00155698,0.00155698
12,350.418,1.25371,0.62007,0.86594,0.67465,0.61437,0.61972,0.33842,1.25642,0.63941,0.86681,0.00154598,0.00154598,0.00154598
13,379.484,1.28671,0.6465,0.86647,0.64768,0.58003,0.58188,0.32912,1.18033,0.64529,0.86281,0.00153497,0.00153497,0.00153497
14,408.572,1.17683,0.60697,0.85208,0.68704,0.59963,0.61688,0.36927,1.08833,0.63457,0.85201,0.00152397,0.00152397,0.00152397
15,437.898,1.1982,0.58942,0.8534,0.64306,0.59955,0.58045,0.35726,1.14725,0.59968,0.85991,0.00151297,0.00151297,0.00151297
16,466.927,1.19603,0.59016,0.85551,0.72879,0.5807,0.62915,0.37196,1.06327,0.56791,0.8534,0.00150197,0.00150197,0.00150197
17,496.101,1.16313,0.56282,0.85034,0.72721,0.60266,0.62338,0.3771,1.05918,0.55012,0.84182,0.00149096,0.00149096,0.00149096
18,525.437,1.13717,0.56531,0.84946,0.80718,0.61143,0.66489,0.39382,1.05621,0.55377,0.84481,0.00147996,0.00147996,0.00147996
19,554.694,1.10718,0.54648,0.84191,0.8072,0.61143,0.67718,0.40178,1.07774,0.53997,0.83956,0.00146896,0.00146896,0.00146896
20,583.92,1.09076,0.53215,0.84019,0.70586,0.63944,0.64772,0.39111,1.05209,0.53851,0.84985,0.00145796,0.00145796,0.00145796
21,612.998,1.1545,0.55915,0.85134,0.7851,0.61044,0.65085,0.38834,1.05238,0.5418,0.84867,0.00144696,0.00144696,0.00144696
22,642.102,1.14332,0.5603,0.84541,0.81555,0.58999,0.6472,0.37289,1.07882,0.55098,0.84569,0.00143595,0.00143595,0.00143595
23,671.285,1.17198,0.57035,0.85052,0.6562,0.60617,0.61219,0.315,1.28966,0.63429,0.85915,0.00142495,0.00142495,0.00142495
24,700.215,1.1548,0.57369,0.84372,0.74162,0.65428,0.68293,0.42168,1.02793,0.52306,0.84287,0.00141395,0.00141395,0.00141395
25,729.08,1.07807,0.53121,0.8392,0.7661,0.65703,0.68047,0.41801,1.01801,0.52377,0.83789,0.00140295,0.00140295,0.00140295
26,758.033,1.15017,0.55859,0.84916,0.79973,0.62543,0.65898,0.39284,1.01496,0.53718,0.84064,0.00139195,0.00139195,0.00139195
27,787.189,1.11686,0.56781,0.84537,0.74934,0.63346,0.62915,0.3831,1.05052,0.5598,0.84121,0.00138094,0.00138094,0.00138094
28,816.227,1.09929,0.54647,0.84145,0.8123,0.63437,0.68023,0.4179,1.0194,0.52316,0.84139,0.00136994,0.00136994,0.00136994
29,845.255,1.10296,0.5518,0.84553,0.79831,0.63181,0.67577,0.41006,1.01402,0.52826,0.84156,0.00135894,0.00135894,0.00135894
30,874.254,1.08635,0.53217,0.83878,0.7789,0.63993,0.66478,0.41005,1.00049,0.50893,0.83982,0.00134794,0.00134794,0.00134794
31,903.292,1.08114,0.53179,0.84117,0.77959,0.60752,0.63662,0.40489,0.99052,0.51834,0.83981,0.00133693,0.00133693,0.00133693
32,932.371,1.1127,0.54306,0.83743,0.77531,0.6226,0.65179,0.39042,1.05226,0.53433,0.83821,0.00132593,0.00132593,0.00132593
33,961.388,1.03004,0.51105,0.83388,0.84403,0.6399,0.68619,0.43808,0.96559,0.48087,0.83507,0.00131493,0.00131493,0.00131493
34,990.596,1.07049,0.52057,0.83338,0.73584,0.63135,0.6246,0.40452,0.94871,0.48508,0.8322,0.00130393,0.00130393,0.00130393
35,1019.69,1.05014,0.50771,0.8308,0.74727,0.65236,0.67959,0.42282,0.99109,0.49888,0.83628,0.00129293,0.00129293,0.00129293
