epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2523,1.74408,2.31798,0.9582,0.00878,0.07505,0.03243,0.01107,1.6568,3.28306,0.90088,0.000542114,0.000542114,0.000542114
2,19.612,1.6254,1.08649,0.92012,0.7965,0.42127,0.36793,0.17503,1.4201,2.15785,0.89763,0.00109054,0.00109054,0.00109054
3,28.0598,1.50299,0.94343,0.89999,0.94106,0.40481,0.44145,0.22954,1.50948,1.15065,0.9001,0.00163162,0.00163162,0.00163162
4,36.305,1.55731,0.94113,0.90006,0.95627,0.43163,0.46483,0.27475,1.28399,0.90778,0.87648,0.00163399,0.00163399,0.00163399
5,44.5218,1.46495,0.8688,0.889,0.94066,0.41709,0.4573,0.24459,1.50006,0.8481,0.89219,0.00162299,0.00162299,0.00162299
6,52.7156,1.41944,0.82891,0.8785,0.96421,0.44544,0.4749,0.28908,1.19791,0.69761,0.86355,0.00161199,0.00161199,0.00161199
7,61.1322,1.39496,0.79772,0.879,0.96247,0.43278,0.47701,0.28803,1.219,0.74446,0.86515,0.00160099,0.00160099,0.00160099
8,69.3048,1.33224,0.76835,0.8735,0.96026,0.44291,0.49163,0.30035,1.26867,0.70601,0.86831,0.00158998,0.00158998,0.00158998
9,77.6595,1.38215,0.77055,0.87839,0.96558,0.44107,0.51872,0.29662,1.2246,0.67864,0.86197,0.00157898,0.00157898,0.00157898
10,85.983,1.35146,0.76,0.87366,0.96815,0.44667,0.53825,0.31153,1.21233,0.67152,0.86161,0.00156798,0.00156798,0.00156798
11,94.3963,1.29775,0.7315,0.86527,0.9757,0.44982,0.54373,0.32977,1.13887,0.62758,0.85075,0.00155698,0.00155698,0.00155698
12,102.787,1.3212,0.72362,0.86577,0.96016,0.45028,0.55402,0.32647,1.15765,0.65517,0.85615,0.00154598,0.00154598,0.00154598
13,111.206,1.32313,0.71708,0.86394,0.97593,0.45603,0.55652,0.34637,1.13221,0.61726,0.84916,0.00153497,0.00153497,0.00153497
14,119.873,1.33266,0.70768,0.8658,0.84635,0.51863,0.56811,0.32763,1.19908,0.64706,0.85343,0.00152397,0.00152397,0.00152397
15,128.46,1.33426,0.70946,0.87009,0.67949,0.52649,0.56241,0.3286,1.1254,0.62281,0.85339,0.00151297,0.00151297,0.00151297
16,137.05,1.29527,0.70317,0.86038,0.61313,0.55404,0.55006,0.33188,1.12746,0.60218,0.84963,0.00150197,0.00150197,0.00150197
17,145.531,1.24868,0.67543,0.85489,0.64185,0.52238,0.54141,0.30615,1.26796,0.68017,0.8641,0.00149096,0.00149096,0.00149096
18,154.12,1.30782,0.69578,0.86614,0.5845,0.53346,0.53642,0.31771,1.15313,0.66696,0.85721,0.00147996,0.00147996,0.00147996
19,162.574,1.25047,0.66762,0.85734,0.74601,0.58637,0.60437,0.35479,1.15784,0.61265,0.84863,0.00146896,0.00146896,0.00146896
20,171.017,1.23993,0.65469,0.85556,0.74545,0.58967,0.59704,0.34091,1.15257,0.62667,0.8471,0.00145796,0.00145796,0.00145796
21,179.409,1.29252,0.65952,0.86378,0.68083,0.55272,0.57094,0.33146,1.16484,0.61487,0.84615,0.00144696,0.00144696,0.00144696
22,187.932,1.24934,0.64616,0.85018,0.75867,0.58408,0.60801,0.37292,1.07727,0.56838,0.84403,0.00143595,0.00143595,0.00143595
23,196.366,1.21369,0.63078,0.85509,0.74413,0.58967,0.59841,0.35478,1.12515,0.57759,0.84354,0.00142495,0.00142495,0.00142495
24,204.723,1.19426,0.61936,0.84723,0.77836,0.57721,0.58825,0.36247,1.1038,0.58037,0.84506,0.00141395,0.00141395,0.00141395
25,213.114,1.1925,0.62,0.84936,0.80585,0.59459,0.60539,0.35486,1.14039,0.5782,0.84874,0.00140295,0.00140295,0.00140295
26,221.666,1.23337,0.6342,0.85704,0.81475,0.53076,0.59152,0.34373,1.13576,0.59925,0.84913,0.00139195,0.00139195,0.00139195
27,230.039,1.23856,0.64122,0.8574,0.63363,0.57672,0.58528,0.3519,1.09043,0.61452,0.84615,0.00138094,0.00138094,0.00138094
28,238.427,1.17047,0.60978,0.84741,0.7374,0.59062,0.61172,0.36609,1.11608,0.5787,0.84764,0.00136994,0.00136994,0.00136994
29,246.849,1.19827,0.6239,0.85181,0.80578,0.58622,0.611,0.3691,1.06646,0.56084,0.84491,0.00135894,0.00135894,0.00135894
30,255.353,1.25032,0.62888,0.85509,0.9261,0.56797,0.61536,0.33905,1.20349,0.59901,0.85318,0.00134794,0.00134794,0.00134794
31,263.688,1.21137,0.61274,0.85559,0.78885,0.5876,0.62345,0.37915,1.07013,0.56575,0.8448,0.00133693,0.00133693,0.00133693
32,272.108,1.21277,0.61486,0.84938,0.8,0.57652,0.61561,0.37049,1.06356,0.56528,0.84094,0.00132593,0.00132593,0.00132593
33,280.705,1.17871,0.61119,0.84776,0.86627,0.59009,0.63856,0.38801,1.05317,0.55124,0.8424,0.00131493,0.00131493,0.00131493
34,289.166,1.19281,0.61579,0.84667,0.82892,0.57535,0.63096,0.37795,1.09108,0.58329,0.84425,0.00130393,0.00130393,0.00130393
35,297.59,1.17445,0.59812,0.84154,0.81407,0.5978,0.6373,0.38789,1.04687,0.53888,0.8376,0.00129293,0.00129293,0.00129293
36,306.026,1.20586,0.60913,0.84194,0.81352,0.58671,0.61524,0.37252,1.07375,0.56079,0.84201,0.00128192,0.00128192,0.00128192
