epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4979,1.51963,1.66647,0.92471,0.43539,0.41436,0.45357,0.25072,1.3978,1.0412,0.87457,0.000542114,0.000542114,0.000542114
2,28.9086,1.37724,0.77584,0.87762,0.5817,0.53911,0.53401,0.30426,1.22229,0.80098,0.86626,0.00109054,0.00109054,0.00109054
3,43.3858,1.38704,0.76004,0.88058,0.46183,0.43998,0.4702,0.28799,1.2081,0.74882,0.86582,0.00163162,0.00163162,0.00163162
4,57.2883,1.36637,0.72712,0.87213,0.6701,0.59722,0.58025,0.32671,1.20463,0.66768,0.86468,0.00163399,0.00163399,0.00163399
5,70.9818,1.30943,0.67423,0.86842,0.62736,0.52243,0.5228,0.26229,1.3477,0.71883,0.87103,0.00162299,0.00162299,0.00162299
6,84.5856,1.33285,0.66668,0.86685,0.78742,0.59502,0.6189,0.35857,1.11068,0.60254,0.84832,0.00161199,0.00161199,0.00161199
7,99.161,1.2421,0.63051,0.85965,0.72456,0.58815,0.59988,0.35199,1.18671,0.66647,0.85038,0.00160099,0.00160099,0.00160099
8,112.932,1.23261,0.62432,0.86025,0.74193,0.62426,0.6472,0.39331,1.0958,0.57011,0.84759,0.00158998,0.00158998,0.00158998
9,127.033,1.2795,0.62443,0.8606,0.88439,0.60153,0.65691,0.37623,1.13646,0.59046,0.84916,0.00157898,0.00157898,0.00157898
10,140.822,1.24134,0.63108,0.85768,0.78035,0.58297,0.62784,0.37275,1.08753,0.56365,0.84767,0.00156798,0.00156798,0.00156798
11,154.559,1.25327,0.62406,0.85708,0.72784,0.58881,0.63361,0.35423,1.14391,0.57922,0.84703,0.00155698,0.00155698,0.00155698
12,168.2,1.21726,0.62296,0.85603,0.79903,0.61975,0.67571,0.38333,1.12782,0.58306,0.8532,0.00154598,0.00154598,0.00154598
13,181.889,1.20856,0.61118,0.85294,0.82891,0.61978,0.64581,0.39296,1.06637,0.58179,0.842,0.00153497,0.00153497,0.00153497
14,195.6,1.20055,0.60535,0.84742,0.73767,0.59874,0.63163,0.37238,1.08554,0.58973,0.84197,0.00152397,0.00152397,0.00152397
15,209.349,1.18902,0.59259,0.84787,0.77771,0.62918,0.65139,0.39882,1.08104,0.56515,0.84385,0.00151297,0.00151297,0.00151297
16,223.292,1.15559,0.58307,0.84547,0.78164,0.63499,0.67365,0.39145,1.12669,0.57064,0.85179,0.00150197,0.00150197,0.00150197
17,237.098,1.19699,0.58586,0.85112,0.6844,0.6034,0.63474,0.37527,1.1041,0.57022,0.84368,0.00149096,0.00149096,0.00149096
18,250.927,1.17102,0.57919,0.85029,0.80992,0.63389,0.67069,0.40674,1.06316,0.55533,0.84146,0.00147996,0.00147996,0.00147996
19,265.189,1.12997,0.56581,0.8436,0.80224,0.61512,0.68698,0.40525,1.07088,0.54924,0.84405,0.00146896,0.00146896,0.00146896
